text,n_instances,mean_complexity,genre,epoche,date
"Kairo, Ägyptisches Museum, JE 58063",49,3027.24489795918,Administrativer Text,Altes Reich,-2465
"D. Abusir 6",10,3026.3,Besuchertext,Neues Reich,-1452
"London, Petrie Museum of Egyptian Archaeology, 32265",1,3019,nicht spezifiziert,Neues Reich,-1422.5
"Turin, Museo Egizio, CGT 54053",108,3018.80555555556,Hymnus im Götterkult,Neues Reich,-1182
"D. Abusir 4",4,3017.25,Besuchertext,Neues Reich,-1452
"Straßburg, Bibliothèque nationale et universitaire de Strasbourg, 56",106,3015.39622641509,Brief,Altes Reich,-2263
"Kairo, Ägyptisches Museum, CG 58069",275,3008.64363636364,Rechnung,Zweite Zwischenzeit,-1711.5
"P. Strasbourg Ed",1,3008,nicht spezifiziert,Altes Reich,-2263
"D. Assiut N13.1 TN30",2,3005,Signatur,Neues Reich,-1422.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 11257",14,3004,Kemit,Neues Reich,-1422.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 12628 + P. 12641",38,3000.18421052632,Administrativer Text,Neues Reich,-1152.5
"Tally Stone of mꜣꜤ.t-kꜣ-rꜤ 3",3,2999.66666666667,nicht spezifiziert,Neues Reich,-1465.5
"London, British Museum, EA 10102",5,2999,Brief,Neues Reich,-1452
"London, British Museum, EA 10474",2,2994,nicht spezifiziert,Dritte Zwischenzeit,-866.5
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.434",2,2991,Kemit,Neues Reich,-1182
"D. Hatnub 26",16,2990.5,Biographischer Text,Erste Zwischenzeit,-2092.5
"London, British Museum, EA 10221",409,2989.10268948655,Gerichtsurkunde/Zeugenaussage,Neues Reich,-1110.5
"Kairo, Institut français d’archéologie orientale, OL 38",4,2983.5,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 7809 + P. 7810 Paris, Musée du Louvre, AF 11112",62,2982.3064516129,Götternamen und -Titel,Griechisch-römische Zeit,129.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10617",3,2975.33333333333,nicht spezifiziert,Neues Reich,-1434.5
"London, British Museum, EA 10053",10,2974.7,Gerichtsurkunde/Zeugenaussage,Neues Reich,-1109.5
"P. Abusir Berlin 7/F",1,2974,Administrativer Text,Altes Reich,-2394.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 11301",19,2971.05263157895,Brief,Altes Reich,-2394.5
"London, Petrie Museum of Egyptian Archaeology, UC 32190 + UC 32315",2,2963.5,Rechnung,Mittleres Reich,-1951.5
"Kairo, Institut français d’archéologie orientale, OL 39",2,2961.5,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3135",117,2960.29914529915,Buch vom Atmen,Griechisch-römische Zeit,3.5
"P. Abusir Berlin 7/D",5,2958.2,Administrativer Text,Altes Reich,-2394.5
"P. Abusir Berlin 03",11,2955.45454545455,Administrativer Text,Altes Reich,-2465
"Kairo, Institut français d’archéologie orientale, OL 27",14,2951.28571428571,Kemit,Neues Reich,-1182
"London, British Museum, EA 10672",57,2951.17543859649,nicht spezifiziert,Griechisch-römische Zeit,31.5
"D. Assiut N13.1 TN8",11,2943.45454545455,Kemit,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, 2572",22,2937.40909090909,Kemit,Neues Reich,-1182
"P. Abusir Kairo Fragm. δ",1,2937,Administrativer Text,Altes Reich,-2394.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 14156",2,2931.5,Administrativer Text,Neues Reich,-1148.5
"D. Amasis, Jahr 5",14,2931.35714285714,Besuchertext,Spätzeit,-565.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3008",89,2928.7191011236,Totenbuch,Griechisch-römische Zeit,-143.5
"Beit Khallaf K1.2",3,2926.66666666667,nicht spezifiziert,Altes Reich,-2667
"Turin, Museo Egizio, CGT 54050",228,2924.74122807018,Magischer Text,Neues Reich,-1127.5
"D. Hatnub 19",5,2924.6,nicht spezifiziert,Erste Zwischenzeit,-2092.5
"Turin, Museo Egizio, CGT 57125",5,2924.6,nicht spezifiziert,Neues Reich,-1165.5
"New York City, Academy of Medicine, 217",47,2922.44680851064,Medizinischer Text,Zweite Zwischenzeit,-1437.5
"D. Assiut N13.1 TS33",1,2921,Königsname und Titel,Neues Reich,-1182
"Straßburg, Bibliothèque nationale et universitaire de Strasbourg, H 101",18,2917.22222222222,Kemit,Neues Reich,-1182
"Paris, Bibliothèque Nationale de France, Egyptien 210",9,2915.77777777778,Haushaltsliste,Neues Reich,-1291.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 11292",6,2913,Materialliste,Neues Reich,-1452
"Kairo, Institut français d’archéologie orientale, OL 11",7,2912.71428571429,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, OL 32",7,2912.14285714286,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3038",8,2911.375,Medizinischer Text,Neues Reich,-1240.5
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.1044",2,2910.5,Kemit,Neues Reich,-1182
"Berkeley (CA), University of California - Bancroft Library, P.Hearst 1282",154,2908,Totenbrief,Erste Zwischenzeit,-2092.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 15723",9,2905.66666666667,nicht spezifiziert,Altes Reich,-2263
"D. Abusir 3",3,2905.33333333333,Besuchertext,Neues Reich,-1452
"T. Bryce",6,2898.66666666667,Vertrag,Neues Reich,-1422.5
"Leipzig, Ägyptisches Museum der Universität Leipzig – Georg Steindorff, 3956",31,2895.16129032258,Kemit,Neues Reich,-1182
"P. Strasbourg Er",1,2889,nicht spezifiziert,Altes Reich,-2263
"Kairo, Institut français d’archéologie orientale, OL 19",10,2888.3,Kemit,Neues Reich,-1182
"London, British Museum, EA 10490",370,2882.40810810811,Totenbuch,Dritte Zwischenzeit,-1015
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.512B",15,2881,Kemit,Neues Reich,-1182
"London, Petrie Museum of Egyptian Archaeology, 32544",1,2877,Administrativer Text,Neues Reich,-1336.5
"D. Hatnub 2",1,2876,Nichtköniglicher Historischer Text,Altes Reich,-2334
"London, Petrie Museum of Egyptian Archaeology, 46298",1,2875,nicht spezifiziert,Neues Reich,-1340.5
"Turin, Museo Egizio, CGT 57551",2,2875,Kemit,Neues Reich,-1182
"Paris, Bibliothèque Nationale de France, Egyptien 204",37,2874.16216216216,Haushaltsliste,Neues Reich,-1292.5
"Leiden, Rijksmuseum van Oudheden, H** 26",8,2871.5,Nicht spezifizierter Funerärer Text,Altes Reich,-2553.5
"Kairo, Institut français d’archéologie orientale, OL 37",9,2871.11111111111,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 54052",42,2869.92857142857,Magischer Text,Neues Reich,-1240.5
"D. Hatnub 15",2,2864,nicht spezifiziert,Erste Zwischenzeit,-2092.5
"Paris, Bibliothèque Nationale de France, Egyptien 211",49,2861.61224489796,nicht spezifiziert,Neues Reich,-1291.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 14213",8,2858.625,Administrativer Text,Neues Reich,-1293
"London, British Museum, EA 50727",1,2857,Literarischer Text,Neues Reich,-1127.5
"D. Assiut N13.1 TN6",6,2856.16666666667,Kemit,Neues Reich,-1422.5
"Turin, Museo Egizio, CGT 57055",10,2854.7,Administrativer Text,Neues Reich,-1160.5
"Chicago, Institute for the Study of Ancient Cultures Museum, E25332",33,2852.60606060606,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2577",13,2852,Kemit,Neues Reich,-1182
"D. Assiut N13.1 TAN3",2,2848.5,nicht spezifiziert,Neues Reich,-1422.5
"London, Petrie Museum of Egyptian Archaeology, 46292",1,2845,nicht spezifiziert,Neues Reich,-1340.5
"Kairo, Institut français d’archéologie orientale, 2502",40,2842.5,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, S. 17507/5",75,2835.37333333333,nicht spezifiziert,Altes Reich,-2553.5
"Kairo, Institut français d’archéologie orientale, OL 29",5,2835.2,Kemit,Neues Reich,-1182
"D. Assiut N13.1 TS3",39,2832.94871794872,Hymnus im Götterkult,Neues Reich,-1422.5
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.955",9,2828,Kemit,Neues Reich,-1182
"London, British Museum, EA 10057 + EA 10058",327,2827.61162079511,Mathematischer Text,Zweite Zwischenzeit,-1600
"Kairo, Institut français d’archéologie orientale, 2604",16,2826.4375,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2591",12,2819.41666666667,Kemit,Neues Reich,-1182
"London, Petrie Museum of Egyptian Archaeology, UC 31946",8,2814.625,Kemit,Neues Reich,-1182
"Berlin, Pergamon Museum, VAT 233",8,2809.125,Administrativer Text,Neues Reich,-1344
"Hieratischer Wiederbestattungsvermerk auf Leichenhülle der Prinzessin Zꜣt-Kꜣ-msjw",1,2807,nicht spezifiziert,Dritte Zwischenzeit,-1007
"Turin, Museo Egizio, CGT 54051",290,2804.87586206897,Magischer Text,Neues Reich,-1127.5
"London, Petrie Museum of Egyptian Archaeology, UC 32782",78,2798.35897435897,Brief,Neues Reich,-1347.5
"D. Hatnub 21",1,2798,nicht spezifiziert,Erste Zwischenzeit,-2092.5
"D. Assiut N13.1 TW28",1,2797,Hymnus im Götterkult,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, 2543",16,2794.5,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, SA 6154",15,2794.4,Administrativer Text,Neues Reich,-1096.5
"Turin, Museo Egizio, CGT 57448",19,2792.52631578947,Kemit,Neues Reich,-1182
"Hieratischer Wiederbestattungsvermerk auf Leichenband der Mumie des Prinzen Zꜣ-Jmn",1,2792,nicht spezifiziert,Dritte Zwischenzeit,-1007
"Hieratischer Wiederbestattungsvermerk auf Leichenumwicklung der Mumie Ramses’ II.",1,2791,Nicht spezifizierter Königlicher Text,Dritte Zwischenzeit,-1007
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.401",9,2790.33333333333,Kemit,Neues Reich,-1182
"Paris, Bibliothèque Nationale de France, Egyptien 208",6,2788.66666666667,Haushaltsliste,Neues Reich,-1292.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 15726",4,2786,nicht spezifiziert,Altes Reich,-2465
"Kairo, Institut français d’archéologie orientale, OL 35",14,2784.07142857143,Kemit,Neues Reich,-1182
"London, British Museum, EA 10252",1,2783,Verklärungen,Griechisch-römische Zeit,-313.5
"Kairo, Institut français d’archéologie orientale, OL 31",26,2778.42307692308,Kemit,Neues Reich,-1182
"Paris, Musée du Louvre, E 3226 A + E 3226 B",251,2773.19521912351,Administrativer Text,Neues Reich,-1428
"London, British Museum, EA 5640",38,2770.42105263158,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2594",3,2769.66666666667,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 9784",133,2767.72932330827,Juristische Urkunde,Neues Reich,-1357
"P. Strasbourg Eq",1,2767,nicht spezifiziert,Altes Reich,-2263
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 8869",165,2766.2303030303,Brief,Altes Reich,-2263
"München, Staatliche Sammlung Ägyptischer Kunst, ÄS 7123",48,2763.29166666667,Funerärer Ritualtext,Altes Reich,-2263
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10840",32,2758.5,Administrativer Text,Neues Reich,-1278
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 11248",66,2757.78787878788,Administrativer Text,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3014 + P. 3053",7,2755.57142857143,Ritualtext im Götterkult,Dritte Zwischenzeit,-830
"Leipzig, Ägyptisches Museum der Universität Leipzig – Georg Steindorff, 1926",7,2751.42857142857,Kemit,Neues Reich,-1182
"P. Strasbourg Et",1,2748,nicht spezifiziert,Altes Reich,-2263
"Turin, Museo Egizio, CGT 57545 + CGT 57546",17,2746.82352941176,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 9874",6,2746.16666666667,Namenliste/Onomasticon,Altes Reich,-2433
"New York City, Metropolitan Museum of Art, 13.182.33",14,2746.14285714286,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2608",17,2744.70588235294,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2506",24,2737.16666666667,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2542",51,2736.35294117647,Kemit,Neues Reich,-1246
"D. Assiut N13.1 TS5",2,2733.5,Signatur,Neues Reich,-1422.5
"London, British Museum, EA 10244",2,2733.5,Literarischer Text,Neues Reich,-1197
"London, Petrie Museum of Egyptian Archaeology, 32229",1,2733,nicht spezifiziert,Neues Reich,-1334.5
"Kairo, Institut français d’archéologie orientale, 217",14,2732.28571428571,Administrativer Text,Neues Reich,-1151.5
"Paris, Musée du Louvre, AE/E 3230 a",20,2731.9,Brief,Neues Reich,-1422.5
"Turin, Museo Egizio, CGT 57553",7,2730.42857142857,Kemit,Neues Reich,-1182
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.943",47,2728.68085106383,Kemit,Neues Reich,-1182
"Paris, Musée du Louvre, AF 497",30,2725.7,Kemit,Zweite Zwischenzeit,-1437.5
"Kairo, Institut français d’archéologie orientale, 2548",8,2724.5,Kemit,Neues Reich,-1182
"Straßburg, Bibliothèque nationale et universitaire de Strasbourg, H 137",34,2723.55882352941,Kemit,Neues Reich,-1182
"Atlanta, Michael C. Carlos Museum, 2014.033.001",169,2722.84023668639,Totenbrief,Erste Zwischenzeit,-2107.5
"Kairo, Institut français d’archéologie orientale, OL 26",27,2722.55555555556,Kemit,Neues Reich,-1182
"D. Hatnub 43",2,2720.5,nicht spezifiziert,Erste Zwischenzeit,-2107.5
"Beit Khallaf K1.1",6,2720.16666666667,nicht spezifiziert,Altes Reich,-2667
"Kairo, Institut français d’archéologie orientale, 2597",13,2719.53846153846,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 57189",17,2712.70588235294,Administrativer Text,Neues Reich,-1168.5
"Straßburg, Bibliothèque nationale et universitaire de Strasbourg, 62",2,2712.5,nicht spezifiziert,Altes Reich,-2263
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.944",13,2709.69230769231,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 9785",92,2708.92391304348,Juristische Urkunde,Neues Reich,-1348.5
"London, Petrie Museum of Egyptian Archaeology, UC 31912",19,2708.63157894737,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2598",50,2702.68,Kemit,Neues Reich,-1182
"Beit Khallaf K3.10",1,2701,nicht spezifiziert,Altes Reich,-2667
"London, Petrie Museum of Egyptian Archaeology, UC 32213",2,2699,nicht spezifiziert,Mittleres Reich,-1879
"London, Petrie Museum of Egyptian Archaeology, 32557",1,2689,nicht spezifiziert,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, 2584",8,2686.5,Kemit,Neues Reich,-1182
"D. Assiut N13.1 TW4",1,2686,Besuchertext,Neues Reich,-1422.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10663",15,2685.8,Administrativer Text,Neues Reich,-1156.5
"Luxor, Luxor Museum of Egyptian Art, 1001",36,2684.88888888889,Kemit,Neues Reich,-1449
"London, British Museum, EA 10762",1,2682,nicht spezifiziert,Mittleres Reich,-1852.5
"Paris, Bibliothèque Nationale de France, Egyptien 183",832,2680.99639423077,Lehre,Mittleres Reich,-1879
"Paris, Bibliothèque Nationale de France, Egyptien 205",52,2677.67307692308,Haushaltsliste,Neues Reich,-1292.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 14302",18,2675.55555555556,Administrativer Text,Neues Reich,-1150.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 13242 Ro",106,2675.06603773585,Kultischer Text,Griechisch-römische Zeit,-8
"Kairo, Institut français d’archéologie orientale, OL 47",5,2673,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 9907",1,2671,nicht spezifiziert,Altes Reich,-2394.5
"Turin, Museo Egizio, CGT 54003",1,2670,Magischer Text,Mittleres Reich,-1914
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 14203",31,2669.64516129032,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2547",5,2667.6,Kemit,Neues Reich,-1182
"London, Petrie Museum of Egyptian Archaeology, UC 31913",7,2665.57142857143,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 14614",7,2662.57142857143,Administrativer Text,Neues Reich,-1182
"D. Assiut N13.1 TS6",9,2660,Signatur,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, OL 50",7,2656.85714285714,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2600",26,2656.03846153846,Kemit,Neues Reich,-1182
"D. Assiut N13.1 TS16",14,2652.92857142857,Besuchertext,Neues Reich,-1422.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 11240",33,2652,Kemit,Neues Reich,-1422.5
"Leiden, Rijksmuseum van Oudheden, AAL 146 a",24,2650.20833333333,Nicht spezifizierter Funerärer Text,Altes Reich,-2553.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 9010",131,2649.09160305343,Juristische Urkunde,Altes Reich,-2263
"Kairo, Ägyptisches Museum, JE 95616",102,2645.87254901961,Kemit,Neues Reich,-1240.5
"Kairo, Institut français d’archéologie orientale, OL 7",27,2641.77777777778,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 57549",19,2639.47368421053,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, OL 40",7,2635,Kemit,Neues Reich,-1182
"Prag, Náprstek Museum, P 3824",67,2633.17910447761,Kemit,Neues Reich,-1182
"D. Assiut N13.1 TBS4",5,2632,Opferformel ḥtp-ḏı͗-nsw.t,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, 1",43,2629.16279069767,Administrativer Text,Neues Reich,-1291.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 14657",22,2626.77272727273,Administrativer Text,Neues Reich,-1152.5
"London, British Museum, EA 10060",1,2625,Erzählung,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, 2504",22,2624.5,Kemit,Neues Reich,-1182
"Luxor, Luxor Museum of Egyptian Art, DAN hierat 5",60,2621.68333333333,Kemit,Zweite Zwischenzeit,-1437.5
"Kairo, Institut français d’archéologie orientale, OL 12",5,2619.8,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2568",3,2616.33333333333,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 57554",45,2613.68888888889,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 57080",1,2612,Administrativer Text,Neues Reich,-1246
"London, Petrie Museum of Egyptian Archaeology, 32170",4,2611.75,Rechnung,Mittleres Reich,-1802
"Kairo, Institut français d’archéologie orientale, 2515",26,2610.69230769231,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, DeM 10339 recto",9,2609.11111111111,Administrativer Text,Neues Reich,-1089.5
"Beit Khallaf K1.7",3,2605,nicht spezifiziert,Altes Reich,-2667
"Beit Khallaf K3.15",3,2599,nicht spezifiziert,Altes Reich,-2667
"London, Petrie Museum of Egyptian Archaeology, UC 31944",14,2598.64285714286,Kemit,Neues Reich,-1182
"London, Petrie Museum of Egyptian Archaeology, UC 31911",30,2595.8,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, OL 44",5,2592.6,Kemit,Neues Reich,-1182
"Gizeh, Grand Egyptian Museum, 1523",181,2589.60773480663,Kemit,Neues Reich,-1422.5
"Cambridge, Fitzwilliam Museum, E.76.1926",8,2589.25,Kemit,Neues Reich,-1182
"D. Assiut N13.1 TN17",25,2585.2,Besuchertext,Neues Reich,-1422.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 15292",25,2584.92,Namenliste/Onomasticon,Neues Reich,-1240.5
"O. Amarna EA 329",47,2583.6170212766,Kemit,Neues Reich,-1422.5
"O. Ramesseum 2008-APS-036",12,2582.91666666667,Kemit,Neues Reich,-1246
"London, Petrie Museum of Egyptian Archaeology, UC 31910",25,2580.08,Kemit,Neues Reich,-1182
"London, Petrie Museum of Egyptian Archaeology, UC 32189",2,2579,Rechnung,Mittleres Reich,-1879
"O. DEM_2019_M25_073",4,2579,Kemit,Neues Reich,-1182
"Florenz, Museo Egizio, 7138",7,2578.71428571429,Kemit,Neues Reich,-1309.5
"Kairo, Institut français d’archéologie orientale, 98",13,2578.69230769231,Namenliste/Onomasticon,Neues Reich,-1190
"Berlin, Ägyptisches Museum und Papyrussammlung, ÄM 14000",1,2578,nicht spezifiziert,Neues Reich,-1344
"Turin, Museo Egizio, CGT 57308",9,2577.88888888889,Kemit,Neues Reich,-1182
"London, Petrie Museum of Egyptian Archaeology, UC 31909",26,2574.23076923077,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, OL 13",7,2574.14285714286,Kemit,Neues Reich,-1182
"New York City, Metropolitan Museum of Art, 22.3.517",1281,2568.51600312256,Brief,Mittleres Reich,-1933.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 14286",37,2568.40540540541,Administrativer Text,Neues Reich,-1150
"Turin, Museo Egizio, S. 17507/1",119,2568.3025210084,Rechnung,Altes Reich,-2553.5
"Kairo, Institut français d’archéologie orientale, 2567",38,2566.57894736842,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, SA 6351",13,2560.46153846154,Administrativer Text,Neues Reich,-1165.5
"Kairo, Institut français d’archéologie orientale, 2512",41,2560.0487804878,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2508",22,2556.86363636364,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, OL 5",12,2556.66666666667,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2581",9,2552.33333333333,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 57072",55,2552,Materialliste,Neues Reich,-1155.5
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.572",11,2550.90909090909,Kemit,Neues Reich,-1182
"P. Abusir Kairo Fragm. n",1,2550,Administrativer Text,Altes Reich,-2394.5
"D. Assiut N13.1 TS9",1,2549,Fürbitte,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 12632 Kairo, Institut français d’archéologie orientale, 226",16,2546.0625,Administrativer Text,Neues Reich,-1158.5
"New York City, Pierpont Morgan Library, Amh. Egy. Pap. 9 Paris, Bibliothèque Nationale de France, Egyptien 202",16,2545.625,Erzählung,Neues Reich,-1413.5
"Kairo, Ägyptisches Museum, CG 58043",7,2543,Brief,Altes Reich,-2304
"Kairo, Institut français d’archéologie orientale, SA 2533 + SA 341 + SA 4295 (?) + SA 6226",39,2540.61538461538,Administrativer Text,Neues Reich,-1152.5
"Paris, Musée du Louvre, N 815",19,2537.68421052632,Administrativer Text,Spätzeit,-588.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10839",17,2537.17647058824,Administrativer Text,Neues Reich,-1168.5
"Kairo, Institut français d’archéologie orientale, 207",55,2534.50909090909,Administrativer Text,Neues Reich,-1159.5
"Kairo, Institut français d’archéologie orientale, OL 28",12,2534,Kemit,Neues Reich,-1182
"Leiden, Rijksmuseum van Oudheden, AAL 146bis a",28,2532.89285714286,Nicht spezifizierter Funerärer Text,Altes Reich,-2553.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10615",60,2532.1,Administrativer Text,Neues Reich,-1436.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10500 A–B",10,2529.8,Administrativer Text,Altes Reich,-2263
"Kairo, Institut français d’archéologie orientale, OL 24",9,2528.77777777778,Kemit,Neues Reich,-1182
"London, British Museum, EA 5641",30,2528.7,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 57035",16,2525,Administrativer Text,Neues Reich,-1168.5
"D. Assiut N13.1 TAS6",24,2521.95833333333,Kolophon,Neues Reich,-1422.5
"Straßburg, Bibliothèque nationale et universitaire de Strasbourg, H. hier. 5",28,2520.67857142857,Administrativer Text,Neues Reich,-1152
"Kairo, Institut français d’archéologie orientale, 652",7,2517.85714285714,Administrativer Text,Neues Reich,-1160.5
"D. Assiut N13.1 TN31",12,2517.58333333333,Besuchertext,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, 2514",14,2516.21428571429,Kemit,Neues Reich,-1182
"D. Hatnub 7",2,2516,nicht spezifiziert,Altes Reich,-2231
"Kairo, Ägyptisches Museum, JE 602",1,2511,nicht spezifiziert,Altes Reich,-2394.5
"Kairo, Institut français d’archéologie orientale, OL 30",4,2509.5,Kemit,Neues Reich,-1182
"Kairo, Ägyptisches Museum, JE 54949",78,2507.51282051282,Kemit,Neues Reich,-1182
"Berkeley (CA), University of California - Bancroft Library, P.Hearst.0001",4,2507.5,Medizinischer Text,Mittleres Reich,-1802.5
"New York City, Metropolitan Museum of Art, 13.182.32",11,2506.81818181818,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 57282",13,2503.23076923077,Administrativer Text,Neues Reich,-1168.5
"Kairo, Institut français d’archéologie orientale, 2513",42,2502.19047619048,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 11262",36,2502.16666666667,Kemit,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, 2563",7,2502,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, OL 16",2,2502,Kemit,Neues Reich,-1182
"SAK 2008 428-1",2,2501.5,nicht spezifiziert,Frühdynastische Zeit,-2788
"Kairo, Institut français d’archéologie orientale, 2585",9,2500.22222222222,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3029 [b]",17,2497.88235294118,Gerichtsurkunde/Zeugenaussage,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, OL 22",11,2491.09090909091,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 12",44,2490.72727272727,Administrativer Text,Neues Reich,-1291.5
"D. Assiut N13.1 TN29",5,2489.2,Signatur,Neues Reich,-1422.5
"New York City, Metropolitan Museum of Art, 22.3.518",364,2488.77472527473,Brief,Mittleres Reich,-1933.5
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.1020",17,2488.52941176471,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2579",18,2486.44444444444,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2505",23,2485.60869565217,Kemit,Neues Reich,-1182
"London, Petrie Museum of Egyptian Archaeology, Amarna 71 (Petrie)",1,2485,nicht spezifiziert,Neues Reich,-1422.5
"O. DEM_2019_M25_197",48,2481.85416666667,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 12384",26,2479.38461538462,Administrativer Text,Neues Reich,-1151.5
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.570",16,2478.5,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2544",17,2477,Kemit,Neues Reich,-1182
"Paris, Bibliothèque Nationale de France, Egyptien 203",8,2473.375,Rechnung,Neues Reich,-1286.5
"Kairo, Institut français d’archéologie orientale, SA 2214",11,2470.27272727273,Administrativer Text,Neues Reich,-1238.5
