text,n_instances,mean_complexity,genre,epoche,date
"London, British Museum, EA 10245",23,3459.17391304348,Literarischer Text,Neues Reich,-1197
"Leipzig, Bibliotheca Albertina, Papyrus- und Ostrakasammlung, P. Ebers",529,3456.40075614367,Medizinischer Text,Neues Reich,-1516.5
"Kairo, Ägyptisches Museum, CG 58032",47,3453.78723404255,Hymnus im Götterkult,Dritte Zwischenzeit,-973.5
"Kairo, Ägyptisches Museum, CG 61020 [docket A]",1,3453,nicht spezifiziert,Dritte Zwischenzeit,-968.5
"London, British Museum, EA 10203",9,3438.66666666667,Totenbuch,Dritte Zwischenzeit,-866.5
"London, Petrie Museum of Egyptian Archaeology, 46316",2,3432,nicht spezifiziert,Neues Reich,-1345.5
"Paris, Musée du Louvre, E 4892",6,3432,Erzählung,Neues Reich,-1203.5
"D. Hatnub 22",30,3428.73333333333,Biographischer Text,Erste Zwischenzeit,-2092.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3050",8,3425,Hymnus im Götterkult,Dritte Zwischenzeit,-830
"P. Strasbourg Ek",1,3418,nicht spezifiziert,Altes Reich,-2263
"P. Abusir Kairo Fragm. f",1,3412,Administrativer Text,Altes Reich,-2394.5
"D. Hatnub 16",21,3406.61904761905,Biographischer Text,Erste Zwischenzeit,-2092.5
"Kairo, Ägyptisches Museum, JE 58037",3,3406.33333333333,nicht spezifiziert,Neues Reich,-1168.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10482",53,3400.1320754717,Sargtexte,Mittleres Reich,-1914
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10621",19,3398.68421052632,Administrativer Text,Neues Reich,-1452
"D. Abusir 5",3,3396,Besuchertext,Neues Reich,-1452
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10004",2,3392,nicht spezifiziert,Mittleres Reich,-1827.5
"Kairo, Ägyptisches Museum, CG 58057",3,3389.66666666667,nicht spezifiziert,Neues Reich,-1286.5
"London, Petrie Museum of Egyptian Archaeology, 32057",19,3382.78947368421,Medizinischer Text,Mittleres Reich,-1808.5
"D. Hatnub 4",2,3380.5,nicht spezifiziert,Altes Reich,-2231
"Kairo, Institut français d’archéologie orientale, 2603",16,3379.625,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10069",1,3376,Administrativer Text,Mittleres Reich,-1828.5
"D. Hatnub 11",5,3373.8,Nichtköniglicher Historischer Text,Erste Zwischenzeit,-1905
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 23256",65,3370.41538461538,Totenbuch,Griechisch-römische Zeit,-181
"London, British Museum, EA 9999",1028,3369.546692607,Tempelbezogene Texte,Neues Reich,-1127.5
"Moskau, State Pushkin Museum of Fine Arts, I, 1б 314 (Kol. 21)",11,3366.54545454545,Namenliste/Onomasticon,Zweite Zwischenzeit,-1565
"Turin, Museo Egizio, CGT 54054",13,3363.07692307692,Magischer Text,Neues Reich,-1127.5
"Kairo, Institut français d’archéologie orientale, OL 34",5,3362.4,Kemit,Neues Reich,-1182
"Kairo, Ägyptisches Museum, JE 58064",1,3362,nicht spezifiziert,Altes Reich,-2423
"Straßburg, Bibliothèque nationale et universitaire de Strasbourg, 52",5,3361.2,nicht spezifiziert,Altes Reich,-2263
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10523",93,3360.61290322581,nicht spezifiziert,Altes Reich,-2263
"Kairo, Institut français d’archéologie orientale, OL 14",4,3343.25,Kemit,Neues Reich,-1182
"P. Strasbourg Ep",2,3341.5,Brief,Altes Reich,-2263
"P. Strasbourg Dβ",2,3340.5,nicht spezifiziert,Altes Reich,-2263
"P. Strasbourg Dv",1,3337,nicht spezifiziert,Altes Reich,-2263
"D. Medum 5",18,3330.72222222222,Besuchertext,Neues Reich,-1438.5
"Strasbourg H",9,3329.77777777778,nicht spezifiziert,Altes Reich,-2263
"Turin, Museo Egizio, CGT 57393",21,3329.7619047619,Administrativer Text,Neues Reich,-1151.5
"Kairo, Ägyptisches Museum, JE 71580",2,3321,Administrativer Text,Mittleres Reich,-1879
"New York City, Pierpont Morgan Library, Amh. Egy. Pap. 11",3,3319.66666666667,nicht spezifiziert,Neues Reich,-1286.5
"Turin, Museo Egizio, CGT 57020",59,3315.35593220339,Haushaltsliste,Neues Reich,-1168.5
"Turin, Museo Egizio, CGT 57029",2,3315,Administrativer Text,Neues Reich,-1160.5
"P. Abusir Berlin 04",8,3310.875,Administrativer Text,Altes Reich,-2465
"D. Hatnub 20",23,3304.78260869565,Biographischer Text,Erste Zwischenzeit,-2092.5
"London, British Museum, EA 10554",78,3303.01282051282,Totenbuch,Dritte Zwischenzeit,-946.5
"London, Petrie Museum of Egyptian Archaeology, Amarna Inschrift 72",1,3302,Administrativer Text,Neues Reich,-1422.5
"D. Abusir 1",3,3292.33333333333,Besuchertext,Neues Reich,-1452
"D. Hatnub 18",5,3289.4,Biographischer Text,Erste Zwischenzeit,-2092.5
"Straßburg, Bibliothèque nationale et universitaire de Strasbourg, 57",77,3288.62337662338,Brief,Altes Reich,-2263
"London, Petrie Museum of Egyptian Archaeology, UC 32179",5,3288.2,Rechnung,Mittleres Reich,-1830.5
