script,sessionId,sessionIndex,expert,metric,n,r,z
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,peakJerk,146,-0.0850810531712202,-0.0852872439584795
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,rmsJstar,146,0.584921393979978,0.669911088493579
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,totalTurningAbs,146,0.346547205607289,0.361514337121406
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,peakTurningAbs,146,0.0925754903771188,0.0928413228177565
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,p95TurningAbs,146,-0.204352932468092,-0.207271005584525
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,meanTurning,146,-0.131032691581523,-0.131790437967841
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,drawingTime,139,0.432525306450677,0.462998979435186
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,pathLength,139,0.613517779256199,0.714543082093276
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,skeletonPixelCount,139,0.614740875848346,0.71650680837824
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,totalWorkProxy,139,0.46389682418281,0.502265291004993
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,workPerLength,139,-0.0896708524645366,-0.0899123623517766
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,meanSpeed,139,-0.0272567091363376,-0.0272634620726494
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,peakSpeed,139,-0.0731527332276112,-0.0732836417584203
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,rmsVstar,139,-0.24229290037272,-0.247208582716447
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,meanAccel,139,-0.0559200904310157,-0.0559784884662881
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,peakAccel,139,-0.00274539398446217,-0.00274540088201035
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,rmsAstar,139,0.239499302291783,0.244242879723858
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,meanJerk,139,0.0684358718142879,0.068543012133281
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,peakJerk,139,0.0892193917351561,0.0894572606048079
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,rmsJstar,139,0.241576510607078,0.246447653920185
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,totalTurningAbs,139,0.148201581867794,0.149301127513538
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,peakTurningAbs,139,0.124625024742015,0.125276305013156
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,p95TurningAbs,139,-0.20948375698806,-0.212631348112795
Hebrew,2264674b-46d3-4ed9-9e4d-b35a3206b000,6,0,meanTurning,139,-0.0608800406867513,-0.0609554232376512
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,drawingTime,304,0.518395670358173,0.574143346163614
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,pathLength,304,0.472763531010405,0.51362335613932
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,skeletonPixelCount,304,0.565817095737098,0.641348594456359
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,totalWorkProxy,304,0.390893946026689,0.412854774520734
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,workPerLength,304,-0.21744115300996,-0.220968698048713
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,meanSpeed,304,-0.073920275406733,-0.0740553571177087
