sign_id,grapheme_id,mdc,Unicode,ht_local_path,schriftart,text,datierung,datierung_href,in_text_selection
452,859,US9A53VARA,US9A53VARA,svgs/ht/ht_452.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3135","Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios XIV. – Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Claudius",https://aku-pal.uni-mainz.de/datings/150,FALSE
453,859,US9A53VARA,US9A53VARA,svgs/ht/ht_453.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3135","Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios XIV. – Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Claudius",https://aku-pal.uni-mainz.de/datings/150,FALSE
454,42,A59,𓁄,svgs/ht/ht_454.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3135","Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios XIV. – Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Claudius",https://aku-pal.uni-mainz.de/datings/150,FALSE
455,776,C11B,C11B,svgs/ht/ht_455.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3135","Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios XIV. – Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Claudius",https://aku-pal.uni-mainz.de/datings/150,FALSE
456,6,A26,𓀞,svgs/ht/ht_456.svg,Hieratisch,"London, British Museum, EA 10188 [palimpsest new]","Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV., Regierungsjahr 12, Choiak",https://aku-pal.uni-mainz.de/datings/136,FALSE
457,1,A1,𓀀,svgs/ht/ht_457.svg,Hieratisch,"London, British Museum, EA 10188 [palimpsest new]","Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV., Regierungsjahr 12, Choiak",https://aku-pal.uni-mainz.de/datings/136,FALSE
458,3,A2,𓀁,svgs/ht/ht_458.svg,Hieratisch,"London, British Museum, EA 10188 [palimpsest new]","Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV., Regierungsjahr 12, Choiak",https://aku-pal.uni-mainz.de/datings/136,FALSE
459,4,A17,𓀔,svgs/ht/ht_459.svg,Hieratisch,"London, British Museum, EA 10188 [palimpsest new]","Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV., Regierungsjahr 12, Choiak",https://aku-pal.uni-mainz.de/datings/136,FALSE
460,8,A28,𓀠,svgs/ht/ht_460.svg,Hieratisch,"London, British Museum, EA 10188 [palimpsest new]","Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV., Regierungsjahr 12, Choiak",https://aku-pal.uni-mainz.de/datings/136,FALSE
461,28,A52,𓀽,svgs/ht/ht_461.svg,Hieratisch,"London, British Museum, EA 10188 [palimpsest new]","Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV., Regierungsjahr 12, Choiak",https://aku-pal.uni-mainz.de/datings/136,FALSE
462,58,B1,𓁐,svgs/ht/ht_462.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3048 ro","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/767,FALSE
463,58,B1,𓁐,svgs/ht/ht_463.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3056","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/768,FALSE
464,27,A48,𓀹,svgs/ht/ht_464.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3055","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/766,FALSE
465,27,A48,𓀹,svgs/ht/ht_465.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3055","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/766,FALSE
466,58,B1,𓁐,svgs/ht/ht_466.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3049","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/185,FALSE
467,58,B1,𓁐,svgs/ht/ht_467.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3056","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/768,FALSE
468,61,B2,𓁑,svgs/ht/ht_468.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3049","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/185,FALSE
469,58,B1,𓁐,svgs/ht/ht_469.svg,Hieratisch,"D. Amasis, Jahr 5","Spätzeit, 26. Dynastie, Amasis Chenemibre, Regierungsjahr 5, Monat 4, Jahreszeit pr.t, Tag 11",https://aku-pal.uni-mainz.de/datings/89,FALSE
470,58,B1,𓁐,svgs/ht/ht_470.svg,Hieratisch,"D. Amasis, Jahr 5","Spätzeit, 26. Dynastie, Amasis Chenemibre, Regierungsjahr 5, Monat 4, Jahreszeit pr.t, Tag 11",https://aku-pal.uni-mainz.de/datings/89,FALSE
471,60,B7C,B7C,svgs/ht/ht_471.svg,Hieratisch,"Manchester, John Rylands Library, Dem. 9","Spätzeit, 27. Dynastie, Dareios I. Setutre, Regierungsjahr 9, Phamenoth",https://aku-pal.uni-mainz.de/datings/91,FALSE
472,58,B1,𓁐,svgs/ht/ht_472.svg,Hieratisch,"Manchester, John Rylands Library, Dem. 9","Spätzeit, 27. Dynastie, Dareios I. Setutre, Regierungsjahr 9, Phamenoth",https://aku-pal.uni-mainz.de/datings/91,FALSE
473,58,B1,𓁐,svgs/ht/ht_473.svg,Hieratisch,"Manchester, John Rylands Library, Dem. 9","Spätzeit, 27. Dynastie, Dareios I. Setutre, Regierungsjahr 9, Phamenoth",https://aku-pal.uni-mainz.de/datings/91,FALSE
474,58,B1,𓁐,svgs/ht/ht_474.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3073 London, British Museum, EA 10265 + EA 10266 New York City, Pierpont Morgan Library, Amherst 41","Griechisch-römische Zeit, Ptolemäerzeit",https://aku-pal.uni-mainz.de/datings/92,FALSE
475,60,B7C,B7C,svgs/ht/ht_475.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3073 London, British Museum, EA 10265 + EA 10266 New York City, Pierpont Morgan Library, Amherst 41","Griechisch-römische Zeit, Ptolemäerzeit",https://aku-pal.uni-mainz.de/datings/92,FALSE
476,27,A48,𓀹,svgs/ht/ht_476.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3073 London, British Museum, EA 10265 + EA 10266 New York City, Pierpont Morgan Library, Amherst 41","Griechisch-römische Zeit, Ptolemäerzeit",https://aku-pal.uni-mainz.de/datings/92,FALSE
477,27,A48,𓀹,svgs/ht/ht_477.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3073 London, British Museum, EA 10265 + EA 10266 New York City, Pierpont Morgan Library, Amherst 41","Griechisch-römische Zeit, Ptolemäerzeit",https://aku-pal.uni-mainz.de/datings/92,FALSE
478,60,B7C,B7C,svgs/ht/ht_478.svg,Hieratisch,"London, British Museum, EA 10188 [palimpsest new]","Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV., Regierungsjahr 12, Choiak",https://aku-pal.uni-mainz.de/datings/136,FALSE
479,60,B7C,B7C,svgs/ht/ht_479.svg,Hieratisch,"London, British Museum, EA 10188 [palimpsest new]","Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV., Regierungsjahr 12, Choiak",https://aku-pal.uni-mainz.de/datings/136,FALSE
480,58,B1,𓁐,svgs/ht/ht_480.svg,Hieratisch,"London, British Museum, EA 10188 [palimpsest new]","Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV., Regierungsjahr 12, Choiak",https://aku-pal.uni-mainz.de/datings/136,FALSE
481,58,B1,𓁐,svgs/ht/ht_481.svg,Hieratisch,"London, British Museum, EA 10188 [palimpsest new]","Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV., Regierungsjahr 12, Choiak",https://aku-pal.uni-mainz.de/datings/136,FALSE
482,27,A48,𓀹,svgs/ht/ht_482.svg,Hieratisch,"London, British Museum, EA 10188 [palimpsest new]","Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV., Regierungsjahr 12, Choiak",https://aku-pal.uni-mainz.de/datings/136,FALSE
483,58,B1,𓁐,svgs/ht/ht_483.svg,Hieratisch,"London, British Museum, EA 10188 [palimpsest new]","Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV., Regierungsjahr 12, Choiak",https://aku-pal.uni-mainz.de/datings/136,FALSE
