datierung,startdatum,enddatum,epoche,epoche_startdatum,epoche_enddatum
"Mittleres Reich, 11. Dynastie (nach der Reichseinigung)",-2055,-1985,Mittleres Reich,-2055,-1650
"Mittleres Reich, 11. Dynastie (nach der Reichseinigung) – Mittleres Reich, 12. Dynastie",-2055,-1773,Mittleres Reich,-2055,-1650
"Mittleres Reich, 11. Dynastie (nach der Reichseinigung) – Zweite Zwischenzeit",-2055,-1550,Mittleres Reich,-2055,-1650
"Mittleres Reich, 11. Dynastie (nach der Reichseinigung) – Zweite Zwischenzeit, 13. Dynastie",-2055,-1650,Mittleres Reich,-2055,-1650
"Mittleres Reich, 11. Dynastie (nach der Reichseinigung), Mentuhotep II. (Gesamtzeitraum) – Mittleres Reich, 11. Dynastie (nach der Reichseinigung), Mentuhotep IV.",-2055,-1985,Mittleres Reich,-2055,-1650
"Mittleres Reich, 11. Dynastie (nach der Reichseinigung), Mentuhotep II. (Gesamtzeitraum) – Mittleres Reich, 12. Dynastie, Amenemhet I.",-2055,-1956,Mittleres Reich,-2055,-1650
"Mittleres Reich, 11. Dynastie (nach der Reichseinigung), Mentuhotep IV. – Mittleres Reich, 12. Dynastie, Amenemhet I.",-1992,-1956,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie",-1985,-1773,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie – Zweite Zwischenzeit, 13. Dynastie",-1985,-1650,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Amenemhet I.",-1985,-1956,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Amenemhet I. – Mittleres Reich, 12. Dynastie, Amenemhet II.",-1985,-1877,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Amenemhet III.",-1831,-1786,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Amenemhet III. – Mittleres Reich, 12. Dynastie, Nefrusobek Kasobekre",-1831,-1773,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Amenemhet III. – Zweite Zwischenzeit, 13. Dynastie",-1831,-1650,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Amenemhet III., Regierungsjahr 1",-1831,-1830,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Amenemhet III., Regierungsjahr 18, Monat 2, Jahreszeit šm.w, Tag 13",-1814,-1813,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Amenemhet III., Regierungsjahr 3, Monat 3, Jahreszeit pr.t",-1829,-1828,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Amenemhet III., Regierungsjahr 39, Tag 29",-1793,-1792,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Amenemhet III., Regierungsjahr 4, Monat 4, Jahreszeit šm.w",-1828,-1827,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Amenemhet III., Regierungsjahr 44, Tag 13",-1788,-1787,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Regierungsjahr 34",-1952,-1951,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Regierungsjahr 36, Monat 4, Jahreszeit šm.w",-1950,-1949,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Sesostris I.",-1956,-1911,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Sesostris II. – Mittleres Reich, 12. Dynastie, Sesostris III.",-1877,-1831,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Sesostris III.",-1870,-1831,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Sesostris III. – Mittleres Reich, 12. Dynastie, Amenemhet III.",-1870,-1786,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Sesostris III., Regierungsjahr 6",-1865,-1864,Mittleres Reich,-2055,-1650
"Mittleres Reich, 12. Dynastie, Sesostris III., Regierungsjahr 9",-1862,-1861,Mittleres Reich,-2055,-1650
Neues Reich,-1550,-1069,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie",-1550,-1295,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie – Neues Reich, 20. Dynastie",-1550,-1069,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Aja – Neues Reich, 19. Dynastie, Ramses I.",-1327,-1294,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep I., Regierungsjahr 9",-1517,-1516,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep II.",-1427,-1400,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep II., Regierungsjahr 5",-1423,-1422,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep III.",-1390,-1352,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep III. – Neues Reich, 18. Dynastie, Amenhotep IV./Echnaton",-1390,-1336,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep III., Jahreszeit pr.t, Tag 10",-1390,-1352,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep III., Regierungsjahr 1",-1390,-1389,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep III., Regierungsjahr 1, Monat 4, Jahreszeit šm.w, Tag 19",-1390,-1389,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep III., Regierungsjahr 2",-1389,-1388,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep III., Regierungsjahr 27, Monat 3, Jahreszeit šm.w, Tag 20 – Neues Reich, 18. Dynastie, Amenhotep IV./Echnaton, Regierungsjahr 2, Jahreszeit pr.t, Tag 27",-1364,-1350,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep III., Regierungsjahr 30",-1361,-1360,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep III., Regierungsjahr 30, Monat 1, Jahreszeit pr.t, Tag 5",-1361,-1360,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep III., Regierungsjahr 33, Monat 1, Jahreszeit ꜣḫ.t, Tag 5",-1358,-1357,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep IV./Echnaton",-1352,-1336,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep IV./Echnaton – Neues Reich, 18. Dynastie, Haremhab",-1352,-1295,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep IV./Echnaton – Neues Reich, 18. Dynastie, Tutanchamun",-1352,-1327,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep IV./Echnaton, Regierungsjahr 10",-1343,-1342,Neues Reich,-1550,-1069
