text,aku_text_id,aku_url,n_signs,genre,textinhalt_raw,datierung,epoche,date_start,date_end,date_mid,register,notes
"London, British Museum, EA 10045 + EA 10322 Manchester, John Rylands Library, Hieratic papyrus 4 Oxford, Bodleian Library, MS. Egypt. a. 1 (P) + MS. Egypt. b. 2 (P) Wien, Kunsthistorisches Museum, ÄOS 3856 + ÄOS 3857 + ÄOS 3858 + ÄOS 3862 + ÄOS 3864 + ÄOS 3866 + ÄOS 3867 + ÄOS 3868 + ÄOS 3869 Zagreb, Archäologisches Museum in Zagreb, 886",56958,https://aku-pal.uni-mainz.de/texts/56958,1,Totenbuch,Totenbuch,"Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios II. Philadelphos, Regierungsjahr 37, Tag 27, Thoth",Griechisch-römische Zeit,-249,-248,-248,,
"Kairo, Institut français d’archéologie orientale, 223",137102,https://aku-pal.uni-mainz.de/texts/137102,1,Administrativer Text,Administrativer Text (Deliveries and/or deficits; Duty roster; Events),"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 26, Monat 3, Jahreszeit ꜣḫ.t, Tag 14 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 27, Monat 3, Jahreszeit ꜣḫ.t, Tag 30",Neues Reich,-1159,-1157,-1158,,
"Kairo, Institut français d’archéologie orientale, DeM 10339 verso",5000708,https://aku-pal.uni-mainz.de/texts/5000708,1,Administrativer Text,Administrativer Text (Deliveries and/or deficits of products: grain),"Neues Reich, 20. Dynastie",Neues Reich,-1186,-1069,-1128,,
"London, Petrie Museum of Egyptian Archaeology, Amarna Inschrift 72",5000572,https://aku-pal.uni-mainz.de/texts/5000572,1,Administrativer Text,Administrativer Text,"Neues Reich, 18. Dynastie",Neues Reich,-1550,-1295,-1422,,
"London, British Museum, EA 50721",5000750,https://aku-pal.uni-mainz.de/texts/5000750,1,Literarischer Text,Literarischer Text,"Neues Reich, 19. Dynastie",Neues Reich,-1295,-1186,-1240,,
"Boston (MA), Museum of Fine Arts, 21.964 + 21.965",5000132,https://aku-pal.uni-mainz.de/texts/5000132,1,Sargtexte,Sargtexte,"Mittleres Reich, 11. Dynastie (nach der Reichseinigung), Mentuhotep IV. – Mittleres Reich, 12. Dynastie, Amenemhet I.",Mittleres Reich,-1992,-1956,-1974,,
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10497",139302,https://aku-pal.uni-mainz.de/texts/139302,1,Brief,Brief (an einen Lebenden),"Neues Reich, 20. Dynastie",Neues Reich,-1186,-1069,-1128,,
"Kairo, Ägyptisches Museum, CG 25209",5000919,https://aku-pal.uni-mainz.de/texts/5000919,1,nicht spezifiziert,nicht spezifiziert,Neues Reich,Neues Reich,-1550,-1069,-1310,,
"Kairo, Ägyptisches Museum, CG 58035",5000920,https://aku-pal.uni-mainz.de/texts/5000920,1,nicht spezifiziert,nicht spezifiziert,"Dritte Zwischenzeit, 21. Dynastie – Dritte Zwischenzeit, 22.–23. Dynastie",Dritte Zwischenzeit,-1069,-715,-892,,
"Kairo, Ägyptisches Museum, CG 25206",5000923,https://aku-pal.uni-mainz.de/texts/5000923,1,nicht spezifiziert,nicht spezifiziert,Neues Reich,Neues Reich,-1550,-1069,-1310,,
