"sign ID","grapheme ID","mdc"
"907","137","D21"
"908","137","D21"
"909","143","D26"
"910","143","D26"
"911","166","D52"
"912","144","D28"
"913","144","D28"
"914","149","D33"
"915","147","D35"
"916","151","D36"
"917","151","D36"
"918","151","D36"
"919","151","D36"
"920","154","D37"
"921","156","D39"
"922","159","D40"
"923","159","D40"
"924","153","D41"
"925","158","D43"
"926","150","D45"
"927","161","D46"
"928","161","D46"
"930","161","D46"
"931","161","D46"
"932","787","D47"
"933","160","D49"
"934","163","D50"
"935","164","D51"
"936","166","D52"
"937","167","D53"
"938","169","D54"
"939","169","D54"
"940","169","D54"
"941","169","D54"
"942","170","D55"
"943","170","D55"
"945","173","D58"
"946","173","D58"
"947","173","D58"
"948","428","N41"
"949","428","N41"
"951","168","F181"
"952","126","D3"
"953","145","D32"
"954","123","D1"
"955","124","D2"
"957","128","D4"
"958","128","D4"
"959","130","D6"
"960","133","D10"
"963","302","D17"
"964","125","D20"
"965","137","D21"
"966","137","D21"
"967","137","D21"
"968","142","D24"
"969","143","D26"
"970","144","D28"
"971","144","D28"
"972","148","D34"
"973","147","D35"
"974","151","D36"
"975","151","D36"
"976","151","D36"
"977","154","D37"
"978","153","D41"
"979","158","D43"
"980","161","D46"
"981","161","D46"
"982","787","D47"
"983","163","D50"
"984","164","D51"
"985","166","D52"
"986","167","D53"
"987","169","D54"
"988","170","D55"
"989","428","N41"
"990","428","N41"
"993","168","F181"
"998","126","D3"
"999","123","D1"
"1000","123","D1"
"1001","124","D2"
"1002","128","D4"
"1003","128","D4"
"1004","130","D6"
"1005","133","D10"
"1006","135","D12"
"1008","302","D17"
"1009","125","D20"
"1010","125","D20"
"1011","137","D21"
"1012","137","D21"
"1013","137","D21"
"1014","144","D28"
"1015","145","D32"
"1016","149","D33"
"1017","147","D35"
"1018","151","D36"
"1019","151","D36"
"1020","151","D36"
"1021","154","D37"
"1022","154","D37"
"1023","159","D40"
"1024","159","D40"
"1025","153","D41"
"1026","153","D41"
"1027","158","D43"
"1028","150","D45"
"1029","150","D45"
"1030","161","D46"
"1031","161","D46"
"1032","161","D46"
"1033","787","D47"
"1034","787","D47"
"1035","787","D47"
"1036","163","D50"
"1037","163","D50"
"1038","166","D52"
"1039","166","D52"
"1040","167","D53"
"1041","167","D53"
"1042","169","D54"
"1043","169","D54"
"1044","169","D54"
"1045","169","D54"
"1046","169","D54"
"1047","170","D55"
"1048","170","D55"
"1049","171","D56"
"1050","173","D58"
"1051","173","D58"
"1052","173","D58"
"1053","428","N41"
"1054","428","N41"
"1055","428","N41"
"1060","126","D3"
"1061","123","D1"
"1062","124","D2"
"1063","124","D2"
"1064","128","D4"
"1065","128","D4"
"1066","130","D6"
"1067","1582","D10A"
"1069","135","D12"
"1070","125","D20"
"1071","137","D21"
"1072","137","D21"
"1073","141","D25"
"1074","143","D26"
"1075","143","D26"
"1076","144","D28"
"1077","144","D28"
"1078","145","D32"
"1079","149","D33"
"1080","148","D34"
"1081","148","D34"
"1082","147","D35"
"1083","151","D36"
"1084","151","D36"
"1085","151","D36"
"1086","154","D37"
"1087","154","D37"
"1088","159","D40"
"1089","159","D40"
"1090","153","D41"
"1092","153","D41"
"1093","150","D45"
"1094","150","D45"
"1095","161","D46"
"1096","161","D46"
"1097","161","D46"
"1098","160","D49"
"1099","163","D50"
"1100","163","D50"
"1101","166","D52"
"1102","167","D53"
"1103","167","D53"
"1104","169","D54"
"1105","169","D54"
"1106","169","D54"
"1107","169","D54"
"1108","169","D54"
"1109","169","D54"
"1110","170","D55"
"1111","170","D55"
"1113","173","D58"
"1114","173","D58"
"1115","173","D58"
"1116","173","D58"
"1117","428","N41"
"1118","428","N41"
"1119","170","D55"
"1120","169","D54"
"1121","126","D3"
"1122","130","D6"
"1123","173","D58"
"1124","173","D58"
"1125","170","D55"
"1126","126","D3"
"1127","171","D56"
"1128","173","D58"
"1129","156","D39"
"1130","156","D39"
"1131","151","D36"
"1132","150","D45"
"1134","158","D43"
"1135","428","N41"
"1136","128","D4"
"1137","148","D34"
"1138","428","N41"
"1140","154","D37"
"1141","128","D4"
"1142","125","D20"
"1143","167","D53"
"1144","151","D36"
"1146","169","D54"
"1148","169","D54"
"1149","159","D40"
"1150","125","D20"
"1151","159","D40"
"1152","154","D37"
"1153","135","D12"
"1156","169","D54"
"1157","167","D53"
"1158","166","D52"
"1159","123","D1"
"1160","151","D36"
"1162","124","D2"
"1163","143","D26"
"1164","137","D21"
"1165","163","D50"
"1166","163","D50"
"1168","124","D2"
"1169","163","D50"
"1170","161","D46"
"1171","137","D21"
"1172","137","D21"
"1173","161","D46"
"1175","161","D46"
"1176","137","D21"
"1177","844","K5:D54"
"1178","329","K1"
"1179","329","K1"
"1180","330","K2"
"1181","331","K4"
"1182","331","K4"
"1183","332","K5"
"1184","844","K5:D54"
"1185","329","K1"
"1186","329","K1"
"1187","330","K2"
"1188","331","K4"
"1189","332","K5"
"1190","844","K5:D54"
"1191","329","K1"
"1192","329","K1"
"1193","330","K2"
"1194","330","K2"
"1195","330","K2"
"1196","331","K4"
"1197","331","K4"
"1198","331","K4"
"1199","331","K4"
"1200","329","K1"
"1201","329","K1"
"1202","331","K4"
"1203","331","K4"
"1204","844","K5:D54"
"1205","329","K1"
"1206","331","K4"
"1207","331","K4"
"1208","329","K1"
"1209","331","K4"
"1210","329","K1"
"1211","330","K2"
"1212","331","K4"
"1213","331","K4"
"1214","331","K4"
"1215","329","K1"
"1216","329","K1"
"1217","331","K4"
"1218","331","K4"
"1219","331","K4"
"1242","154","D37"
"1243","154","D37"
"1274","142","D24"
"1275","142","D24"
"1313","142","D24"
"1314","142","D24"
"1320","7","A30"
"1321","8","A28"
"1322","38","A81"
"1323","15","A53"
"1324","49","A19"
"1325","43","A24"
"1326","1546","A25-Z12"
"1327","1546","A25-Z12"
"1328","53","A35"
